Data/Hora da ultima atualizacao: 10/05/2023 20:28:20
Instrumento Financeiro;Emissor;Codigo IF;Quantidade Negociada;Preco Negocio;Volume Financeiro R$;Taxa Negocio;Origem Negocio;Horario Negocio;Data Negocio;Cod. Identificador do Negocio;Cod. Isin;Data Liquidacao;Situacao Negocio
DEB;AUTOPISTA LITORAL SUL S/A.;PLSB1A;288;1032,75507100;297433,46;7,3001;Pre-registro - Voice;19:11:58;10/05/2023;#108764170;BRAPLSDBS020;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;49;1013,11940400;49642,85;;Pre-registro - Voice;19:03:25;10/05/2023;#108764169;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;98;1013,11940400;99285,70;;Pre-registro - Voice;19:03:25;10/05/2023;#108764167;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;19;1013,11940400;19249,27;;Pre-registro - Voice;19:03:25;10/05/2023;#108764168;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;49;1013,11940400;49642,85;;Pre-registro - Voice;19:03:24;10/05/2023;#108764161;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;19;1013,11940400;19249,27;;Pre-registro - Voice;19:03:24;10/05/2023;#108764165;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;50;1013,11940400;50655,97;;Pre-registro - Voice;19:03:24;10/05/2023;#108764166;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;138;1013,11940400;139810,48;;Pre-registro - Voice;19:03:24;10/05/2023;#108764160;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;123;1013,11940400;124613,69;;Pre-registro - Voice;19:03:24;10/05/2023;#108764162;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;49;1013,11940400;49642,85;;Pre-registro - Voice;19:03:24;10/05/2023;#108764164;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;148;1013,11940400;149941,67;;Pre-registro - Voice;19:03:24;10/05/2023;#108764159;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;49;1013,11940400;49642,85;;Pre-registro - Voice;19:03:24;10/05/2023;#108764163;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;55;1013,11940400;55721,57;;Pre-registro - Voice;19:03:23;10/05/2023;#108764158;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;24;1013,11940400;24314,87;;Pre-registro - Voice;19:03:23;10/05/2023;#108764156;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;15;1013,11940400;15196,79;;Pre-registro - Voice;19:03:23;10/05/2023;#108764151;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;39;1013,11940400;39511,66;;Pre-registro - Voice;19:03:23;10/05/2023;#108764157;BRRBRACRIDE6;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;21D0862572;80;1027,55018600;82204,01;;Pre-registro - Voice;19:03:23;10/05/2023;#108764150;BRRBRACRI846;11/05/2023;Confirmado
CRI;OPEA SECURITIZADORA S/A;22G0282170;50;1013,11940400;50655,97;;Pre-registro - Voice;19:03:23;10/05/2023;#108764155;BRRBRACRIDE6;11/05/2023;Confirmado
