Razão Social;Fundo;Emissor;Código;Índice;Geografia;Mercado
BB ETF IAGROFFS B3 FUNDO DE ÍNDICE;BB ETF IAGRO;BB;AGRI;;BR;AGRO
BB ETF ÍNDICE FUTURO DE BOI GORDO B3 FDO DE ÍNDICE;BB ETF BOI G;BB;BBOI;;BR;AGRO
BB ETF IBOVESPA FUNDO DE ÍNDICE;BB ETF IBOV;BB;BBOV;IBOV;BR;BR
BB ETF S&P DIVIDENDOS BRASIL FUNDO DE ÍNDICE;BB ETF SP DV;BB;BBSD;;BR;BR
BB ETF ÍNDICE FUTURO DE MILHO B3 FUNDO DE ÍNDICE;BB ETF MILHO;BB;CORN;;BR;AGRO
B-INDEX MORNINGSTAR SETORES DEFENSIVOS BRASIL FI;B INDEX DEFE;BRADESCO;BDEF;;BR;
B-INDEX MORNINGSTAR BRASIL MOMENTO FUNDO DE ÍNDICE;B INDEX MOME;BRADESCO;BMMT;;BR;
B-INDEX MORNINGSTAR BRASIL PESOS IGUAIS FDO IND;B INDEX BREW;BRADESCO;BREW;;BR;
ETF BRADESCO IBOVESPA FDO DE INDICE;ETF BRA IBOV;BRADESCO;BOVB;IBOV;BR;BR
BTG PACTUAL TEVA AÇÕES COMMODITIES BRASIL FDO IND;BTG COMMODIT;BTG PACTUAL;CMDB;;BR;CMD
BTG PACTUAL ESG FUNDO DE ÍNDICE S&P/B3 BRAZIL ES;ETF ESG BTG;BTG PACTUAL;ESGB;;BR;
BTG PACTUAL S&P/B3 INGENIUS FUNDO DE ÍNDICE;ETF BTG GENB;BTG PACTUAL;GENB;;US;US
BTG PACTUAL B3 IBOVESPA FUNDO DE ÍNDICE;PACTUAL IBOV;BTG PACTUAL;IBOB;IBOV;BR;
BTG PACTUAL SMLL B3 FUNDO DE ÍNDICE;BTG SMLL CAP;BTG PACTUAL;SMAB;SMLL;BR;SML
BTG PACTUAL S&P 500 FUNDO DE ÍNDICE;BTG S&P 500;BTG PACTUAL;SPXB;SP500;US;US
ÍNDICE DE AÇÕES TECH BRASIL ETF FUNDO DE ÍNDICE;TECH BRASIL;BTG PACTUAL;TECB;;BR;TEC
INTER EQI TEVA ETF GDES GURUS DO MERCADO FDO IND;ETF GURU;BTG PACTUAL;GURU;;BR;
ETF TRÍGONO TEVA AÇÕES M CAP/SMALL CAP FDO ÍNDICE;TRG SMIC CAP;BTG PACTUAL;TRIG;SMALLCAPS;BR;SML
CAIXA ETF IBOVESPA FUNDO DE INDICE;CAIXAETFXBOV;CAIXA;XBOV;IBOV;BR;BR
EMPIRICUS TEVA CRIPTOMOEDAS TOP20 FDO IND IE;CRIPTO20 EMP;EMPIRICUS;CRPT;;CRIPTO;CRIPTO
HASHDEX NASDAQ BITCOIN REFERENCE RATE FDO. IND.;BITCOIN HASH;HASHDEX;BITH;BTC;CRIPTO;CRIPTO
HASHDEX DEFI INDEX FUNDO DE ÍNDICE;DEFI HASH;HASHDEX;DEFI;;CRIPTO;CRIPTO
HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FDO. IND.;ETHER HASH;HASHDEX;ETHE;;CRIPTO;CRIPTO
HASHDEX NASDAQ CRYPTO INDEX FUNDO DE ÍNDICE;HASHDEX NCI;HASHDEX;HASH;;CRIPTO;CRIPTO
HASHDEX CRYPTO METAVERSE FUNDO DE ÍNDICE;META HASH;HASHDEX;META;;CRIPTO;CRIPTO
HASHDEX SMART CONTRACT PLATFORMS FUNDO DE ÍNDICE;SMART HASH;HASHDEX;WEB3;;CRIPTO;CRIPTO
INVESTO ETF BLUESTAR 5G COM INDEX FDO ÍNDICE IE;INVESTO 5GTK;INVESTO;5GTK;;US;
INVESTO ETF MSCI REAL ESTATE ETF FDO INDICE - IE;INVESTO ALUG;INVESTO;ALUG;;US;
INVESTO MARKETVECTOR BRAZIL DOMESTIC EXPOSURE ETF;INVESTO BDOM;INVESTO;BDOM;;BR;
INVESTO VANECK ETF MARKETVECTOR SMART CONTRACT LEA;INVESTO BLOK;INVESTO;BLOK;;CRIPTO;CRIPTO
INVESTO S&P BIOTECH SEL INDUSTRY ETF FD INV IND IE;INVESTO BTEK;INVESTO;BTEK;;US;
INVESTO MARKETVECTOR BRAZIL GLOBAL EXPOSURE ETF;INVESTO BXPO;INVESTO;BXPO;;WRD;
INVESTO ETF GLOBAL AGRIBUSINESS FDO INV IND IE;INVESTO FOOD;INVESTO;FOOD;;WRD;
INVESTO ETF GL VI GA & ES FDO INV DE ÍNDICE IE;INVESTO JOGO;INVESTO;JOGO;;US;GAMES
INVESTO VANECK ETF MVIS CRYPTO COMPARE;INVESTO NFTS;INVESTO;NFTS;;CRIPTO;CRIPTO
INVESTO BLUESTAR ALTERNATIVE MANAGERS FDO DE IND;INVESTO PEVC;INVESTO;PEVC;;US;
